45,HAM_D20240102020045,i1,JPN-OUT,139.44,35.09,0,1
45,HAM_N20240102020045,i1,JPN-OUT,139.44,35.09,1,1
45,HAM_D20240202020045,i1,JPN-OUT,139.44,35.09,2,1
45,HAM_D20240102020045,p,JPN-OUT,139.44,35.09,0,1
45,HAM_N20240102020045,p,JPN-OUT,139.44,35.09,1,1
45,HAM_D20240202020045,p,JPN-OUT,139.44,35.09,2,1
46,HAM_D20240102020046,i1,JPN-OUT,139.44,35.09,0,1
46,HAM_N20240102020046,i1,JPN-OUT,139.44,35.09,1,1
46,HAM_D20240202020046,i1,JPN-OUT,139.44,35.09,2,1
46,HAM_N20240202020046,i1,JPN-OUT,139.44,35.09,3,1
46,HAM_D20240302020046,i1,JPN-OUT,139.44,35.09,4,1
46,HAM_N20240302020046,i1,JPN-OUT,139.44,35.09,5,1
46,HAM_N20240202020046,p,JPN-OUT,139.44,35.09,0,1
46,HAM_D20240302020046,p,JPN-OUT,139.44,35.09,1,1
46,HAM_N20240302020046,p,JPN-OUT,139.44,35.09,2,1
47,HAM_D20240102020047,i1,JPN-OUT,139.44,35.09,0,1
47,HAM_N20240102020047,i1,JPN-OUT,139.44,35.09,1,1
47,HAM_D20240202020047,i1,JPN-OUT,139.44,35.09,2,1
47,HAM_N20240202020047,i1,JPN-OUT,139.44,35.09,3,1
47,HAM_D20240302020047,i1,JPN-OUT,139.44,35.09,4,1
47,HAM_N20240302020047,i1,JPN-OUT,139.44,35.09,5,1
47,HAM_D20240402020047,i1,JPN-OUT,139.44,35.09,6,1
47,HAM_N20240402020047,i1,JPN-OUT,139.44,35.09,7,1
47,HAM_D20240502020047,i1,JPN-OUT,139.44,35.09,8,1
47,HAM_D20240402020047,p,JPN-OUT,139.44,35.09,0,1
47,HAM_N20240402020047,p,JPN-OUT,139.44,35.09,1,1
47,HAM_D20240502020047,p,JPN-OUT,139.44,35.09,2,1
48,HAM_D20240102020048,i1,JPN-OUT,139.44,35.09,0,1
48,HAM_N20240102020048,i1,JPN-OUT,139.44,35.09,1,1
48,HAM_D20240202020048,i1,JPN-OUT,139.44,35.09,2,1
48,HAM_N20240202020048,i1,JPN-OUT,139.44,35.09,3,1
48,HAM_D20240302020048,i1,JPN-OUT,139.44,35.09,4,1
48,HAM_N20240302020048,i1,JPN-OUT,139.44,35.09,5,1
48,HAM_D20240402020048,i1,JPN-OUT,139.44,35.09,6,1
48,HAM_N20240402020048,i1,JPN-OUT,139.44,35.09,7,1
48,HAM_D20240502020048,i1,JPN-OUT,139.44,35.09,8,1
48,HAM_N20240502020048,i1,JPN-OUT,139.44,35.09,9,1
48,HAM_D20240602020048,i1,JPN-OUT,139.44,35.09,10,1
48,HAM_N20240602020048,i1,JPN-OUT,139.44,35.09,11,1
48,HAM_N20240502020048,p,JPN-OUT,139.44,35.09,0,1
48,HAM_D20240602020048,p,JPN-OUT,139.44,35.09,1,1
48,HAM_N20240602020048,p,JPN-OUT,139.44,35.09,2,1
49,HAM_D20240102020049,i1,JPN-OUT,139.44,35.09,0,1
49,HAM_N20240102020049,i1,JPN-OUT,139.44,35.09,1,1
49,HAM_D20240202020049,i1,JPN-OUT,139.44,35.09,2,1
49,HAM_N20240202020049,i1,JPN-OUT,139.44,35.09,3,1
49,HAM_D20240302020049,i1,JPN-OUT,139.44,35.09,4,1
49,HAM_N20240302020049,i1,JPN-OUT,139.44,35.09,5,1
49,HAM_D20240402020049,i1,JPN-OUT,139.44,35.09,6,1
49,HAM_N20240402020049,i1,JPN-OUT,139.44,35.09,7,1
49,HAM_D20240502020049,i1,JPN-OUT,139.44,35.09,8,1
49,HAM_N20240502020049,i1,JPN-OUT,139.44,35.09,9,1
49,HAM_D20240602020049,i1,JPN-OUT,139.44,35.09,10,1
49,HAM_N20240602020049,i1,JPN-OUT,139.44,35.09,11,1
49,HAM_D20240702020049,i1,JPN-OUT,139.44,35.09,12,1
49,HAM_N20240702020049,i1,JPN-OUT,139.44,35.09,13,1
49,HAM_D20240802020049,i1,JPN-OUT,139.44,35.09,14,1
49,HAM_D20240702020049,p,JPN-OUT,139.44,35.09,0,1
49,HAM_N20240702020049,p,JPN-OUT,139.44,35.09,1,1
49,HAM_D20240802020049,p,JPN-OUT,139.44,35.09,2,1
50,HAM_D20240102020050,s,JPN-OUT,139.44,35.09,0,1
50,HAM_N20240102020050,i1,JPN-OUT,139.44,35.09,0,1
50,HAM_D20240202020050,i1,JPN-OUT,139.44,35.09,1,1
50,HAM_N20240202020050,i1,JPN-OUT,139.44,35.09,2,1
50,HAM_D20240302020050,i1,JPN-OUT,139.44,35.09,3,1
50,HAM_N20240302020050,i1,JPN-OUT,139.44,35.09,4,1
50,HAM_D20240402020050,i1,JPN-OUT,139.44,35.09,5,1
50,HAM_N20240402020050,i1,JPN-OUT,139.44,35.09,6,1
50,HAM_D20240502020050,i1,JPN-OUT,139.44,35.09,7,1
50,HAM_N20240502020050,i1,JPN-OUT,139.44,35.09,8,1
50,HAM_D20240602020050,i1,JPN-OUT,139.44,35.09,9,1
50,HAM_N20240602020050,i1,JPN-OUT,139.44,35.09,10,1
50,HAM_D20240702020050,i1,JPN-OUT,139.44,35.09,11,1
50,HAM_N20240702020050,i1,JPN-OUT,139.44,35.09,12,1
50,HAM_D20240802020050,i1,JPN-OUT,139.44,35.09,13,1
